PSR Number,Description,Status,Date Originated,Final Complete Date,Product Line(s),Complaint Details.Adverse Event Suspected?,Complaint Details.Facility Country,Complaint Details.Lot/Serial Number,Complaint Details.Complaint Received By,Complaint Details.Investigation Result Code (N/A to all QMS),Complaint Details.Customer Symptom Code
00000055,Description 55,Closed,11/01/2017 09:05:35 PM PDT,11/22/2017 11:40:07 PM PST,Product 55,No,United Kingdom,341358,Name 55,"N/A, Complaint Closed Prior To This Field Implementation",Power Issues
00000056,Description 56,Closed,10/10/2017 09:03:37 PM PDT,11/22/2017 11:43:25 PM PST,Product 56,No,United Kingdom,N/A,Name 56,"N/A, Complaint Closed Prior To This Field Implementation",Headset
00000057,Description 57,Closed,10/27/2017 09:05:35 PM PDT,11/22/2017 11:44:09 PM PST,Product 57,No,USA,319757,Name 57,"N/A, Complaint Closed Prior To This Field Implementation",Probe
00000058,Description 58,Closed,10/19/2017 09:06:06 PM PDT,11/24/2017 02:04:01 AM PST,Product 58,No,USA,962478,Name 58,"N/A, Complaint Closed Prior To This Field Implementation",Probe
00000059,Description 59,Closed,10/17/2017 09:03:35 PM PDT,11/24/2017 02:04:42 AM PST,Product 59,No,France,128347,Name 59,"N/A, Complaint Closed Prior To This Field Implementation",Damaged USB cable
00000060,Description 60,Canceled,01/19/2018 02:50:42 AM PST,,Product 60,No,United Kingdom,N/A,Name 60,,Other
00000061,Description 61,Closed,10/10/2017 09:03:37 PM PDT,11/24/2017 02:06:05 AM PST,Product 61,No,United Kingdom,543,Name 61,"N/A, Complaint Closed Prior To This Field Implementation",Broken/Damaged Part
00000062,Description 62,Closed,10/18/2017 09:03:34 PM PDT,11/22/2017 11:44:49 PM PST,Product 62,No,United Kingdom,202042,Name 62,"N/A, Complaint Closed Prior To This Field Implementation",Camera
00000063,Description 63,Closed,10/20/2017 09:05:38 PM PDT,11/24/2017 02:06:27 AM PST,Product 63,No,Ireland,398629,Name 63,"N/A, Complaint Closed Prior To This Field Implementation",Chassis
00000064,Description 64,Closed,10/20/2017 09:05:38 PM PDT,11/22/2017 11:46:20 PM PST,Product 64,No,USA,963567,Name 64,"N/A, Complaint Closed Prior To This Field Implementation",Display
00000065,Description 65,Closed,10/31/2017 09:05:36 PM PDT,11/29/2017 01:16:19 AM PST,Product 65,No,United Kingdom,421252,Name 65,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000066,Description 66,Closed,10/18/2017 09:03:35 PM PDT,11/24/2017 02:08:46 AM PST,Product 66,No,UK,431956,Name 66,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000067,Description 67,Closed,10/17/2017 09:03:35 PM PDT,11/30/2017 10:58:36 PM PST,Product 67,No,UK,430926,Name 67,"N/A, Complaint Closed Prior To This Field Implementation",Main/Digital Board
00000068,Description 68,Closed,10/20/2017 09:05:39 PM PDT,11/22/2017 11:51:47 PM PST,Product 68,No,Germany,221004,Name 68,"N/A, Complaint Closed Prior To This Field Implementation",Display
00000069,Description 69,Closed,10/09/2017 09:03:34 PM PDT,06/13/2018 04:47:31 AM PDT,Product 69,No,Germany,989457,Name 69,N/A,Cable issue
00000070,Description 70,Closed,10/09/2017 09:03:35 PM PDT,11/24/2017 02:13:54 AM PST,Product 70,No,Germany,N/A,Name 70,"N/A, Complaint Closed Prior To This Field Implementation",Display
00000071,Description 71,Closed,10/11/2017 09:03:37 PM PDT,11/24/2017 02:15:04 AM PST,Product 71,No,Germany,957879,Name 71,"N/A, Complaint Closed Prior To This Field Implementation",Main/Digital Board
00000072,Description 72,Closed,10/11/2017 09:03:37 PM PDT,11/22/2017 11:52:35 PM PST,Product 72,No,Germany,N/A,Name 72,"N/A, Complaint Closed Prior To This Field Implementation",Correction/replacement program
00000073,Description 73,Closed,10/10/2017 09:03:38 PM PDT,11/22/2017 11:53:27 PM PST,Product 73,No,Irland,86885,Name 73,"N/A, Complaint Closed Prior To This Field Implementation",Missing Material/Component
00000074,Description 74,Closed,10/20/2017 09:05:40 PM PDT,10/24/2017 01:58:39 AM PDT,Product 74,No,USA,217349,Name 74,"N/A, Complaint Closed Prior To This Field Implementation",Loose Hardware/Parts
00000075,Description 75,Closed,10/09/2017 09:03:36 PM PDT,11/24/2017 02:15:47 AM PST,Product 75,No,Germany,300476,Name 75,"N/A, Complaint Closed Prior To This Field Implementation",Cable issue
00000076,Description 76,Closed,10/27/2017 09:05:36 PM PDT,11/20/2017 11:49:47 PM PST,Product 76,No,Italy,322268,Name 76,"N/A, Complaint Closed Prior To This Field Implementation",Probe
00000077,Description 77,Closed,11/20/2017 09:00:39 PM PST,11/21/2017 04:53:43 AM PST,Product 77,No,United Kingdom,963769,Name 77,"N/A, Complaint Closed Prior To This Field Implementation",Headset
00000078,Description 78,Closed,11/20/2017 09:00:40 PM PST,11/21/2017 04:58:48 AM PST,Product 78,No,United Kingdom,963769,Name 78,"N/A, Complaint Closed Prior To This Field Implementation",Cable issue
00000079,Description 79,Closed,10/10/2017 09:03:38 PM PDT,11/24/2017 02:17:54 AM PST,Product 79,No,United Kingdom,210923,Name 79,"N/A, Complaint Closed Prior To This Field Implementation",Calibration Error
00000080,Description 80,Closed,11/14/2017 09:00:39 PM PST,05/09/2018 04:52:36 AM PDT,Product 80,No,Germany,386489,Name 80,Taastrup|OAE & Evoked Potentials|HW|Measurement|Incorrect,Other
00000081,Description 81,Closed,11/01/2017 09:05:36 PM PDT,11/03/2017 04:18:14 AM PDT,Product 81,No,United Kingdom,388985,Name 81,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000082,Description 82,Closed,10/10/2017 09:03:39 PM PDT,11/22/2017 11:54:08 PM PST,Product 82,No,UK,N/A,Name 82,"N/A, Complaint Closed Prior To This Field Implementation",Headset
00000083,Description 83,Closed,10/18/2017 11:46:05 PM PDT,10/19/2017 05:33:13 AM PDT,Product 83,No,France,251495,Name 83,"N/A, Complaint Closed Prior To This Field Implementation",Cable issue
00000084,Description 84,Closed,10/19/2017 09:06:07 PM PDT,11/22/2017 11:55:32 PM PST,Product 84,No,United Kingdom,350B-1202-GNUK,Name 84,"N/A, Complaint Closed Prior To This Field Implementation",Headset
00000085,Description 85,Closed,11/01/2017 09:05:36 PM PDT,11/24/2017 03:05:45 AM PST,Product 85,No,United Kingdom,997305,Name 85,"N/A, Complaint Closed Prior To This Field Implementation",Communication to System Issue
00000086,Description 86,Closed,11/01/2017 09:05:37 PM PDT,11/24/2017 03:07:47 AM PST,Product 86,No,United Kingdom,426657,Name 86,"N/A, Complaint Closed Prior To This Field Implementation",Calibration/Adjustment
00000087,Description 87,Submitted,11/30/2017 09:00:39 PM PST,,Product 87,No,United Kingdom,211017,Name 87,,Probe
00000088,Description 88,Closed,11/10/2017 09:00:39 PM PST,11/21/2017 04:42:32 AM PST,Product 88,No,France,703166,Name 88,"N/A, Complaint Closed Prior To This Field Implementation",PSU/Charger
00000089,Description 89,Closed,10/09/2017 09:03:36 PM PDT,11/23/2017 11:30:22 PM PST,Product 89,No,Korea,248575,Name 89,"N/A, Complaint Closed Prior To This Field Implementation",Main/Digital Board
00000090,Description 90,Closed,11/01/2017 09:05:37 PM PDT,11/24/2017 03:09:01 AM PST,Product 90,No,Ireland,210910,Name 90,"N/A, Complaint Closed Prior To This Field Implementation",Probe
00000091,Description 91,Closed,11/01/2017 09:05:38 PM PDT,11/24/2017 03:12:00 AM PST,Product 91,No,Ireland,211003,Name 91,"N/A, Complaint Closed Prior To This Field Implementation",Probe
00000092,Description 92,Closed,11/01/2017 09:05:38 PM PDT,06/25/2018 05:14:44 AM PDT,Product 92,No,Ireland,N/A,Name 92,N/A,Probe
00000093,Description 93,Closed,10/10/2017 09:03:39 PM PDT,11/24/2017 03:12:39 AM PST,Product 93,No,UK,948226,Name 93,"N/A, Complaint Closed Prior To This Field Implementation",Power Issues
00000094,Description 94,Closed,10/31/2017 09:05:36 PM PDT,11/23/2017 11:31:03 PM PST,Product 94,No,United Kingdom,221012,Name 94,"N/A, Complaint Closed Prior To This Field Implementation",Communication to System Issue
00000095,Description 95,Closed,10/24/2017 09:05:37 PM PDT,11/23/2017 11:31:50 PM PST,Product 95,No,Viet Nam,268556,Name 95,"N/A, Complaint Closed Prior To This Field Implementation",Probe
00000096,Description 96,Closed,10/09/2017 09:03:37 PM PDT,11/16/2017 04:10:52 AM PST,Product 96,No,Denmark,N/A,Name 96,"N/A, Complaint Closed Prior To This Field Implementation",Probe
00000097,Description 97,Closed,10/09/2017 09:03:37 PM PDT,11/16/2017 05:35:19 AM PST,Product 97,No,Denmark,N/A,Name 97,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000098,Description 98,Closed,10/23/2017 09:05:35 PM PDT,02/28/2018 06:53:11 AM PST,Product 98,No,Sweden,251483,Name 98,"N/A, Complaint Closed Prior To This Field Implementation",Probe
00000099,Description 99,Closed,10/26/2017 09:05:36 PM PDT,11/23/2017 11:32:28 PM PST,Product 99,No,United Kingdom,3298,Name 99,"N/A, Complaint Closed Prior To This Field Implementation",Firmware/Software
00000100,Description 100,Closed,10/10/2017 09:03:40 PM PDT,01/08/2018 05:42:57 AM PST,Product 1,No,UK,368752,Name 100,"N/A, Complaint Closed Prior To This Field Implementation",Main/Digital Board
00000101,Description 101,Closed,10/31/2017 09:05:37 PM PDT,11/21/2017 04:53:14 AM PST,Product 2,No,United Kingdom,N/A,Name 101,"N/A, Complaint Closed Prior To This Field Implementation",Headset
00000102,Description 102,Closed,11/16/2017 09:00:40 PM PST,11/17/2017 12:55:16 AM PST,Product 3,No,Sweden,EP-TE29279,Name 102,"N/A, Complaint Closed Prior To This Field Implementation",Microphone
00000103,Description 103,Closed,10/31/2017 09:05:37 PM PDT,12/01/2017 04:51:54 AM PST,Product 4,No,United Kingdom,N/A,Name 103,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000104,Description 104,Closed,10/19/2017 09:06:08 PM PDT,01/08/2018 05:44:40 AM PST,Product 5,No,United Kingdom,184748,Name 104,"N/A, Complaint Closed Prior To This Field Implementation",Cable issue
00000105,Description 105,Closed,10/20/2017 09:05:40 PM PDT,11/24/2017 03:39:24 AM PST,Product 6,No,UK,EP-TE28633,Name 105,"N/A, Complaint Closed Prior To This Field Implementation",Probe
00000106,Description 106,Closed,10/19/2017 09:06:08 PM PDT,11/24/2017 03:42:47 AM PST,Product 7,No,USA,215391,Name 106,"N/A, Complaint Closed Prior To This Field Implementation",Camera
00000107,Description 107,Closed,11/01/2017 09:05:38 PM PDT,11/23/2017 11:32:55 PM PST,Product 8,No,United Kingdom,485155,Name 107,"N/A, Complaint Closed Prior To This Field Implementation",Main/Digital Board
00000108,Description 108,Closed,11/02/2017 09:05:35 PM PDT,11/24/2017 03:41:26 AM PST,Product 9,No,United Kingdom,205472,Name 108,"N/A, Complaint Closed Prior To This Field Implementation",Headset
00000109,Description 109,Closed,10/17/2017 09:03:36 PM PDT,11/24/2017 03:44:05 AM PST,Product 10,No,United Kingdom,187746,Name 109,"N/A, Complaint Closed Prior To This Field Implementation",Main/Digital Board
00000110,Description 110,Closed,11/01/2017 09:05:39 PM PDT,11/23/2017 11:33:34 PM PST,Product 11,No,United Kingdom,432211,Name 110,"N/A, Complaint Closed Prior To This Field Implementation",Cable issue
00000111,Description 111,Closed,11/01/2017 09:05:39 PM PDT,11/29/2017 12:29:37 AM PST,Product 12,No,United Kingdom,1161591175,Name 111,"N/A, Complaint Closed Prior To This Field Implementation",USB Stick Not Recognized
00000112,Description 112,Closed,10/23/2017 09:05:36 PM PDT,11/23/2017 11:34:17 PM PST,Product 13,No,Poland,233654,Name 112,"N/A, Complaint Closed Prior To This Field Implementation",Probe
00000113,Description 113,Closed,10/09/2017 09:03:38 PM PDT,12/01/2017 06:00:16 AM PST,Product 14,No,France,N/A,Name 113,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000114,Description 114,Closed,10/20/2017 09:05:41 PM PDT,11/23/2017 11:34:53 PM PST,Product 15,No,France,398123,Name 114,"N/A, Complaint Closed Prior To This Field Implementation",Power Issues
00000115,Description 115,Closed,10/24/2017 09:05:37 PM PDT,11/23/2017 11:35:26 PM PST,Product 16,No,Russia,249899,Name 115,"N/A, Complaint Closed Prior To This Field Implementation",Lid is damaged
00000116,Description 116,Closed,10/24/2017 09:05:38 PM PDT,11/23/2017 11:52:18 PM PST,Product 17,No,Russia,949649,Name 116,"N/A, Complaint Closed Prior To This Field Implementation",Display
00000117,Description 117,Closed,10/24/2017 09:05:39 PM PDT,10/25/2017 06:21:52 AM PDT,Product 18,No,Russia,405319,Name 117,"N/A, Complaint Closed Prior To This Field Implementation",Probe
00000118,Description 118,Closed,10/24/2017 09:05:39 PM PDT,11/23/2017 11:53:41 PM PST,Product 19,No,Russia,118109,Name 118,"N/A, Complaint Closed Prior To This Field Implementation",Main/Digital Board
00000119,Description 119,Closed,11/13/2017 09:00:39 PM PST,11/21/2017 04:40:54 AM PST,Product 20,No,Spain,N/A,Name 119,"N/A, Complaint Closed Prior To This Field Implementation",Camera
00000120,Description 120,Closed,10/31/2017 09:05:38 PM PDT,11/24/2017 03:52:58 AM PST,Product 21,No,United Kingdom,143101,Name 120,"N/A, Complaint Closed Prior To This Field Implementation",Camera
00000121,Description 121,Closed,10/23/2017 09:05:37 PM PDT,10/24/2017 01:23:55 AM PDT,Product 22,No,UK,141345,Name 121,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000122,Description 122,Closed,10/18/2017 09:03:35 PM PDT,11/24/2017 03:53:39 AM PST,Product 23,No,Italy,N/A,Name 122,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000123,Description 123,Submitted,01/17/2017 09:05:49 PM PST,,Product 24,No,USA,,Name 123,,"Display problems, abnormal/fai"
00000124,Description 124,Submitted,01/25/2017 09:05:49 PM PST,,Product 25,No,USA,,Name 124,,"Display problems, abnormal/fai"
00000125,Description 125,Submitted,02/01/2017 09:04:30 PM PST,,Product 26,No,USA,,Name 125,,"Display problems, abnormal/fai"
00000126,Description 126,Submitted,02/09/2017 09:04:36 PM PST,,Product 27,No,USA,,Name 126,,"Display problems, abnormal/fai"
00000127,Description 127,Submitted,02/19/2017 09:06:01 PM PST,,Product 28,No,USA,,Name 127,,"Display problems, abnormal/fai"
00000128,Description 128,Submitted,02/24/2017 09:04:38 PM PST,,Product 29,No,USA,,Name 128,,"Display problems, abnormal/fai"
00000129,Description 129,Submitted,02/27/2017 09:06:11 PM PST,,Product 30,No,USA,,Name 129,,"Display problems, abnormal/fai"
00000130,Description 130,Submitted,03/22/2017 09:03:56 PM PDT,,Product 31,No,Germany,,Name 130,,Correction/replacement program
00000131,Description 131,Pending,05/16/2017 09:05:09 PM PDT,,Product 32,,USA,,Name 131,,"Display problems, abnormal/fai"
00000132,Description 132,Pending,07/06/2017 09:05:06 PM PDT,,Product 33,,USA,,Name 132,,Correction/replacement program
00000133,Description 133,Submitted,07/19/2017 09:04:16 PM PDT,,Product 34,No,Germany,,Name 133,,"Display problems, abnormal/fai"
00000134,Description 134,Closed,10/17/2017 09:03:40 PM PDT,11/03/2017 04:33:28 AM PDT,Product 35,No,Germany,n,Name 134,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000135,Description 135,Closed,10/17/2017 09:03:40 PM PDT,10/24/2017 01:36:38 AM PDT,Product 36,No,Germany,702024,Name 135,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000136,Description 136,Closed,10/19/2017 09:06:19 PM PDT,10/20/2017 05:20:19 AM PDT,Product 37,No,Germany,N/A,Name 136,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000137,Description 137,Closed,10/19/2017 09:06:19 PM PDT,10/20/2017 05:20:32 AM PDT,Product 38,No,Germany,N/A,Name 137,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000138,Description 138,Closed,10/19/2017 09:06:20 PM PDT,10/20/2017 05:20:48 AM PDT,Product 39,No,Germany,N/A,Name 138,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000139,Description 139,Closed,10/19/2017 09:06:20 PM PDT,10/20/2017 05:21:00 AM PDT,Product 40,No,Germany,N/A,Name 139,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000140,Description 140,Closed,10/19/2017 09:06:21 PM PDT,10/20/2017 05:21:11 AM PDT,Product 41,No,Germany,N/A,Name 140,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000141,Description 141,Closed,10/19/2017 09:06:21 PM PDT,10/20/2017 05:21:23 AM PDT,Product 42,No,Germany,N/A,Name 141,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000142,Description 142,Closed,10/19/2017 09:06:22 PM PDT,10/20/2017 05:21:34 AM PDT,Product 43,No,Germany,N/A,Name 142,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000143,Description 143,Closed,10/19/2017 09:06:22 PM PDT,11/12/2017 11:43:19 PM PST,Product 44,No,Germany,N/A,Name 143,"N/A, Complaint Closed Prior To This Field Implementation",Headset
00000144,Description 144,Closed,10/19/2017 09:06:23 PM PDT,11/16/2017 10:01:13 PM PST,Product 45,No,Germany,N/A,Name 144,"N/A, Complaint Closed Prior To This Field Implementation",Headset
00000145,Description 145,Closed,10/19/2017 09:06:24 PM PDT,11/16/2017 05:51:19 AM PST,Product 46,No,Germany,N/A,Name 145,"N/A, Complaint Closed Prior To This Field Implementation",Headset
00000146,Description 146,Closed,10/19/2017 09:06:24 PM PDT,11/16/2017 05:03:13 AM PST,Product 47,No,Germany,N/A,Name 146,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000147,Description 147,Closed,10/19/2017 09:06:25 PM PDT,10/20/2017 05:21:47 AM PDT,Product 48,No,Germany,N/A,Name 147,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000148,Description 148,Closed,10/17/2017 09:03:41 PM PDT,11/16/2017 05:02:35 AM PST,Product 49,No,Italy,350922,Name 148,"N/A, Complaint Closed Prior To This Field Implementation",Calibration
00000149,Description 149,Closed,10/18/2017 09:03:40 PM PDT,10/20/2017 05:22:00 AM PDT,Product 50,No,Italy,708,Name 149,"N/A, Complaint Closed Prior To This Field Implementation",Calibration
00000150,Description 150,Closed,10/13/2017 09:03:59 PM PDT,02/26/2018 04:53:35 AM PST,Product 51,No,Denmark,215334,Name 150,"N/A, Complaint Closed Prior To This Field Implementation",Pump
